species,CONTEOS_Tropical dry forest,CONTEOS_Tropical humid forest,CONTEOS_Tropical montane,TOTAL_OCURRENCIAS,PORCENTAJE_Tropical dry forest,PORCENTAJE_Tropical humid forest,PORCENTAJE_Tropical montane,bioma_final
Abarema jupunba,44.0,255.0,7.0,306.0,14.38,83.33,2.29,Tropical humid forest
Abarema laeta,0.0,163.0,4.0,167.0,0.0,97.6,2.4,Tropical humid forest
Abarema racemiflora,0.0,2.0,0.0,2.0,0.0,100.0,0.0,Tropical humid forest
Abuta grandifolia,54.0,627.0,5.0,686.0,7.87,91.4,0.73,Tropical humid forest
Abuta rufescens,8.0,88.0,0.0,96.0,8.33,91.67,0.0,Tropical humid forest
Acaciella angustissima,291.0,113.0,54.0,458.0,63.54,24.67,11.79,Tropical dry forest
Acalypha diversifolia,231.0,1524.0,60.0,1815.0,12.73,83.97,3.31,Tropical humid forest
Acanthosyris falcata,16.0,5.0,0.0,21.0,76.19,23.81,0.0,Tropical dry forest
Acanthosyris glabrata,8.0,0.0,0.0,8.0,100.0,0.0,0.0,Tropical dry forest
Achatocarpus nigricans,186.0,100.0,2.0,288.0,64.58,34.72,0.69,Tropical dry forest
Acioa guianensis,0.0,11.0,0.0,11.0,0.0,100.0,0.0,Tropical humid forest
Acmanthera latifolia,0.0,26.0,0.0,26.0,0.0,100.0,0.0,Tropical humid forest
Acrosynanthus trachyphyllus,1.0,0.0,0.0,1.0,100.0,0.0,0.0,Tropical dry forest
Actinocheita filicina,42.0,9.0,8.0,59.0,71.19,15.25,13.56,Tropical dry forest
Actinostemon amazonicus,0.0,24.0,0.0,24.0,0.0,100.0,0.0,Tropical humid forest
Actinostemon klotzschii,73.0,20.0,0.0,93.0,78.49,21.51,0.0,Tropical dry forest
Adelia ricinella,16.0,11.0,0.0,27.0,59.26,40.74,0.0,
Adelia triloba,22.0,147.0,0.0,169.0,13.02,86.98,0.0,Tropical humid forest
Adelobotrys macrantha,0.0,16.0,0.0,16.0,0.0,100.0,0.0,Tropical humid forest
Adenaria floribunda,206.0,119.0,32.0,357.0,57.7,33.33,8.96,
Adenocalymma aspericarpum,13.0,43.0,0.0,56.0,23.21,76.79,0.0,Tropical humid forest
Adenocalymma divaricatum,54.0,1.0,0.0,55.0,98.18,1.82,0.0,Tropical dry forest
Adiscanthus fusciflorus,0.0,45.0,0.0,45.0,0.0,100.0,0.0,Tropical humid forest
Aegiphila martinicensis,1.0,12.0,0.0,13.0,7.69,92.31,0.0,Tropical humid forest
Aegiphila verticillata,281.0,85.0,0.0,366.0,76.78,23.22,0.0,Tropical dry forest
Agarista duckei,0.0,8.0,0.0,8.0,0.0,100.0,0.0,Tropical humid forest
Agarista revoluta,50.0,22.0,0.0,72.0,69.44,30.56,0.0,Tropical dry forest
Agonandra brasiliensis,198.0,77.0,0.0,275.0,72.0,28.0,0.0,Tropical dry forest
Aiouea impressa,0.0,1.0,0.0,1.0,0.0,100.0,0.0,Tropical humid forest
Albizia niopoides,248.0,89.0,4.0,341.0,72.73,26.1,1.17,Tropical dry forest
Albizia occidentalis,165.0,2.0,1.0,168.0,98.21,1.19,0.6,Tropical dry forest
Albizia pistaciifolia,8.0,3.0,1.0,12.0,66.67,25.0,8.33,Tropical dry forest
Alchornea discolor,54.0,210.0,0.0,264.0,20.45,79.55,0.0,Tropical humid forest
Alchornea glandulosa,210.0,502.0,112.0,824.0,25.49,60.92,13.59,Tropical humid forest
Alchornea latifolia,54.0,449.0,41.0,544.0,9.93,82.54,7.54,Tropical humid forest
Alchornea sidifolia,12.0,68.0,0.0,80.0,15.0,85.0,0.0,Tropical humid forest
Alchornea triplinervia,435.0,576.0,73.0,1084.0,40.13,53.14,6.73,
Alchorneopsis floribunda,0.0,239.0,5.0,244.0,0.0,97.95,2.05,Tropical humid forest
Alexa grandiflora,0.0,39.0,0.0,39.0,0.0,100.0,0.0,Tropical humid forest
Alfaroa costaricensis,0.0,85.0,12.0,97.0,0.0,87.63,12.37,Tropical humid forest
Alibertia curviflora,1.0,39.0,0.0,40.0,2.5,97.5,0.0,Tropical humid forest
Alibertia edulis,680.0,1011.0,7.0,1698.0,40.05,59.54,0.41,
Allantoma decandra,0.0,51.0,1.0,52.0,0.0,98.08,1.92,Tropical humid forest
Allantoma lineata,0.0,82.0,0.0,82.0,0.0,100.0,0.0,Tropical humid forest
Allophylus cominia,383.0,122.0,1.0,506.0,75.69,24.11,0.2,Tropical dry forest
Allophylus crassinervis,3.0,13.0,0.0,16.0,18.75,81.25,0.0,Tropical humid forest
Allophylus floribundus,27.0,99.0,28.0,154.0,17.53,64.29,18.18,Tropical humid forest
Allophylus nitidulus,0.0,9.0,0.0,9.0,0.0,100.0,0.0,Tropical humid forest
Alseis blackiana,1.0,60.0,0.0,61.0,1.64,98.36,0.0,Tropical humid forest
Alseis peruviana,3.0,8.0,0.0,11.0,27.27,72.73,0.0,Tropical humid forest
