species,longitude,latitude,bioma_asignado,es_aproximado,ref_longitude,ref_latitude,bioma_original,bioma_reclasificado,bioma_nivel
Palicourea rigida,-49.3317,-24.1125,313,False,-49.3317,-24.1125,Warm Temperate Moist Forest,Warm temperate wet forest,Reclassified
Palicourea rigida,-47.6,-9.3525,114,False,-47.6,-9.3525,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-61.916111,-12.278056,113,False,-61.916111,-12.278056,Tropical Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-47.15,-22.317,114,False,-47.15,-22.317,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-47.142,-22.242,114,False,-47.142,-22.242,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-45.8869,-23.1794,213,False,-45.8869,-23.1794,Subtropical Moist Forest,Subtropical humid forest,Reclassified
Palicourea rigida,-47.7867,-22.255,114,False,-47.7867,-22.255,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-47.8228,-22.2528,114,False,-47.8228,-22.2528,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-48.9996,-22.2981,114,False,-48.9996,-22.2981,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-46.881111,-23.153333,123,False,-46.881111,-23.153333,Tropical Premontane Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-47.169767,-22.922308,114,False,-47.169767,-22.922308,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-56.21138,-23.79611,113,False,-56.21138,-23.79611,Tropical Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-56.39194,-23.84277,213,False,-56.39194,-23.84277,Subtropical Moist Forest,Subtropical humid forest,Reclassified
Palicourea rigida,-60.17,-12.75,113,False,-60.17,-12.75,Tropical Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-73.092649,5.933958,143,False,-73.092649,5.933958,Tropical Montane Moist Forest,Tropical montane humid forest,Reclassified
Palicourea rigida,-49.974306,-25.181056,313,False,-49.974306,-25.181056,Warm Temperate Moist Forest,Warm temperate wet forest,Reclassified
Palicourea rigida,-48.901072,-21.220292,114,False,-48.901072,-21.220292,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-49.0525,-24.07361,114,False,-49.0525,-24.07361,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-46.293333,-20.603611,123,False,-46.293333,-20.603611,Tropical Premontane Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-73.0835,5.92224,143,False,-73.0835,5.92224,Tropical Montane Moist Forest,Tropical montane humid forest,Reclassified
Palicourea rigida,-49.0075,-22.3347,114,False,-49.0075,-22.3347,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-49.05,-24.066667,114,False,-49.05,-24.066667,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-47.5,-22.03333,114,False,-47.5,-22.03333,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-41.9,-13.53,115,False,-41.9,-13.53,Tropical Very Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-57.66666,5.55,113,False,-57.66666,5.55,Tropical Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-47.326389,-14.068889,123,False,-47.326389,-14.068889,Tropical Premontane Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-41.83,-13.03,124,False,-41.83,-13.03,Tropical Premontane Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-60.75,2.836944,113,False,-60.75,2.836944,Tropical Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-45.88,-23.17028,213,False,-45.88,-23.17028,Subtropical Moist Forest,Subtropical humid forest,Reclassified
Palicourea rigida,-51.2917,-22.4492,114,False,-51.2917,-22.4492,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-59.91666,4.66666,113,False,-59.91666,4.66666,Tropical Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-47.0,-16.0,114,False,-47.0,-16.0,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-41.85,-13.28,114,False,-41.85,-13.28,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-58.7017,4.7364,113,False,-58.7017,4.7364,Tropical Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-47.51,-14.1325,123,False,-47.51,-14.1325,Tropical Premontane Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-41.47,-12.45,115,False,-41.47,-12.45,Tropical Very Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-41.78,-13.55,115,False,-41.78,-13.55,Tropical Very Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-59.5988333,-18.3531667,114,False,-59.5988333,-18.3531667,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-57.58333,5.6,113,False,-57.58333,5.6,Tropical Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-41.88,-13.3,124,False,-41.88,-13.3,Tropical Premontane Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-57.58333333,5.6,113,False,-57.58333333,5.6,Tropical Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-41.78,-13.15,124,False,-41.78,-13.15,Tropical Premontane Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-59.51666,3.0,113,False,-59.51666,3.0,Tropical Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-73.239271,8.214107,123,False,-73.239271,8.214107,Tropical Premontane Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-48.0,-17.0,114,False,-48.0,-17.0,Tropical Dry Forest,Tropical dry forest,Reclassified
Palicourea rigida,-56.2333333,2.1166667,113,False,-56.2333333,2.1166667,Tropical Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-58.11666667,5.366666667,113,False,-58.11666667,5.366666667,Tropical Moist Forest,Tropical humid forest,Reclassified
Palicourea rigida,-59.5652778,-18.3252778,114,False,-59.5652778,-18.3252778,Tropical Dry Forest,Tropical dry forest,Reclassified
