sp,gen,fam,Growth_Rings,Vessel_porosity,Vessel_arangement,Perforation_plates,Intervessel_pits_arregement,Mean_tangential_diameter_of_vessel_lumina,Septa_in_fibers,Fibre_wall_thickness,Parenchyma_Paratracheal,Type_of_parenchyma_banding,Ray_width,Rays_cellular_composition,TropicalHumid,TropicalDry,TropicalGrasslands,Mangrove,Biome,predicted_biome,bioma_final
Abuta grandifolia,Abuta,MENISPERMACEAE,1,2,3,0,2,2,1,2,1,5,2,0,0.877229801,0.026232949,0.094438615,0.001049318,TropicalHumid,TropicalHumid,Tropical humid forest
Abuta rufescens,Abuta,MENISPERMACEAE,0,2,3,0,2,2,1,2,0,1,3,4,0.96875,0.01875,0.0125,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Acanthosyris falcata,Acanthosyris,SANTALACEAE,1,2,1,0,2,1,1,2,1,4,2,0,0.0,0.264705882,0.647058824,0.0,TropicalGrasslands,TropicalHumid,Tropical dry forest
Acanthosyris glabrata,Acanthosyris,SANTALACEAE,1,2,1,0,1,1,1,2,1,5,2,2,0.5,0.428571429,0.0,0.071428571,TropicalHumid,,Tropical dry forest
Acioa guianensis,Acioa,CHRYSOBALANACEAE,1,2,3,0,2,3,1,2,0,2,0,2,0.909090909,0.0,0.0,0.090909091,TropicalHumid,TropicalHumid,Tropical humid forest
Acmanthera latifolia,Acmanthera,MALPIGHIACEAE,1,2,3,0,2,0,0,2,1,5,1,4,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Actinostemon amazonicus,Actinostemon,EUPHORBIACEAE,0,2,1,0,2,1,1,2,0,1,1,1,0.96969697,0.0,0.03030303,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Actinostemon klotzschii,Actinostemon,EUPHORBIACEAE,0,2,3,0,2,0,1,1,0,5,0,5,0.827586207,0.013793103,0.144827586,0.0,TropicalHumid,TropicalHumid,Tropical dry forest
Adelia triloba,Adelia,EUPHORBIACEAE,1,2,3,0,2,1,1,2,0,2,0,4,0.807471264,0.140804598,0.0,0.017241379,TropicalHumid,TropicalHumid,Tropical humid forest
Adelobotrys macrantha,Adelobotrys,MELASTOMATACEAE,1,2,3,0,2,2,1,1,1,5,0,1,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Adenaria floribunda,Adenaria,LYTHRACEAE,0,2,3,0,2,1,0,0,0,5,0,1,0.61380597,0.166044776,0.123134328,0.001865672,TropicalHumid,TropicalHumid,
Adenocalymma divaricatum,Adenocalymma,BIGNONIACEAE,0,1,3,0,2,1,1,1,1,5,2,5,0.338235294,0.323529412,0.029411765,0.0,TropicalHumid,,Tropical dry forest
Adiscanthus fusciflorus,Adiscanthus,RUTACEAE,1,2,1,0,2,0,1,2,1,5,1,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Aegiphila verticillata,Aegiphila,LAMIACEAE,0,2,3,0,2,1,1,1,1,5,2,3,0.301412873,0.081632653,0.372056515,0.007849294,TropicalHumid,,Tropical dry forest
Agarista revoluta,Agarista,ERICACEAE,0,2,3,1,1,1,1,1,1,5,2,4,0.763157895,0.006578947,0.0,0.026315789,TropicalHumid,TropicalHumid,
Agonandra brasiliensis,Agonandra,OPILIACEAE,1,2,3,0,2,1,1,2,0,5,1,0,0.28,0.138666667,0.501333333,0.016,TropicalGrasslands,TropicalGrasslands,Tropical dry forest
Aiouea impressa,Aiouea,LAURACEAE,1,2,3,0,2,2,1,1,1,5,1,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Alchornea discolor,Alchornea,EUPHORBIACEAE,1,2,3,0,2,2,1,1,0,5,0,1,0.667655786,0.050445104,0.160237389,0.008902077,TropicalHumid,TropicalHumid,Tropical humid forest
Alchornea glandulosa,Alchornea,EUPHORBIACEAE,1,2,3,0,2,2,1,0,0,5,1,4,0.896204493,0.03718048,0.05577072,0.005422153,TropicalHumid,TropicalHumid,
Alchornea latifolia,Alchornea,EUPHORBIACEAE,0,2,3,0,2,3,1,0,0,5,0,1,0.885527392,0.037612428,0.003270646,0.008176615,TropicalHumid,TropicalHumid,Tropical humid forest
Alchornea sidifolia,Alchornea,EUPHORBIACEAE,0,2,3,0,2,2,1,0,1,5,1,1,0.974619289,0.0,0.015228426,0.010152284,TropicalHumid,TropicalHumid,Tropical humid forest
Alchornea triplinervia,Alchornea,EUPHORBIACEAE,1,2,3,0,2,2,1,1,1,1,0,2,0.6507431,0.052016985,0.106687898,0.00955414,TropicalHumid,TropicalHumid,
Alchorneopsis floribunda,Alchorneopsis,EUPHORBIACEAE,1,2,3,0,2,2,1,0,0,3,1,4,0.974056604,0.002358491,0.016509434,0.002358491,TropicalHumid,TropicalHumid,Tropical humid forest
Alfaroa costaricensis,Alfaroa,JUGLANDACEAE,1,2,1,0,2,2,1,1,1,1,1,4,0.994475138,0.005524862,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Alibertia curviflora,Alibertia,RUBIACEAE,1,2,3,0,2,1,1,2,0,1,1,4,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Alibertia edulis,Alibertia,RUBIACEAE,1,2,3,0,2,2,1,2,0,1,1,4,0.477456647,0.122157996,0.267822736,0.01734104,TropicalHumid,TropicalHumid,
Allantoma decandra,Allantoma,LECYTHIDACEAE,1,2,3,0,2,2,1,1,0,1,1,0,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Allantoma lineata,Allantoma,LECYTHIDACEAE,1,2,3,0,2,1,1,1,0,2,1,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Allophylus cominia,Allophylus,SAPINDACEAE,0,2,3,0,2,1,0,1,1,5,0,0,0.770731707,0.17398374,0.0,0.021138211,TropicalHumid,TropicalHumid,Tropical dry forest
Allophylus floribundus,Allophylus,SAPINDACEAE,1,2,3,0,2,1,0,1,0,5,0,2,0.943521595,0.03986711,0.013289037,0.0,TropicalHumid,TropicalHumid,
Alseis peruviana,Alseis,RUBIACEAE,1,2,3,0,2,1,0,1,0,5,2,4,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
